label,message
ham,I'm going to be home soon and i don't want to talk about this stuff anymore tonight.
spam,WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!
ham,Hey are we still meeting for lunch today?
spam,XXXYou have won a $1000 gift card. Click here to claim now.
ham,Can you send me the report by tomorrow?
spam,FREE entry in 2 a weekly competition to win FA Cup tickets. Text FA to 80086 to enter.
ham,Looking forward to our trip next week!
spam,URGENT! Your account has been suspended. Please contact us immediately.
ham,Don't forget to join us for dinner at 7pm tonight.
spam,You have a new voicemail. To listen call +1234567890.
ham,Are you available for a call later today?
spam,Claim your free vacation now! Limited time offer.
ham,Thanks for your help with the project.
spam,Get Viagra now at a discount rate. Visit our website.
ham,See you at the gym tomorrow.
spam,Lowest prices on insurance. No credit check required.
